615,499,683
-748,-781,588
392,-638,-524
-453,892,-689
-127,159,-103
-782,-721,695
793,523,765
558,953,-776
-960,-476,-523
620,476,721
748,920,-718
-389,915,-762
-885,-408,-561
-647,775,719
266,-564,461
-396,937,-868
270,-648,-624
-608,-779,712
338,-641,-737
254,-682,345
274,-501,402
-729,775,740
-932,-413,-581
-673,894,662
797,944,-790
7,45,10
576,1859,801
-904,2124,298
718,1999,-374
13,1284,-90
-869,2179,389
-690,1963,-869
-125,1321,87
625,1887,-431
-781,1943,-842
632,2130,-440
654,1844,741
582,1802,776
-815,2166,343
-661,1930,-805
616,-1555,510
-867,-1723,-710
-913,-1528,-763
-505,-1638,719
608,-1731,-847
-546,-1590,590
690,-1834,-840
444,-1549,590
631,-1755,-860
574,-1434,552
-647,-1638,653
-139,-1077,-100
-870,-1474,-736
-25,-1193,-10
1106,73,-90
1649,408,-600
1582,526,-564
1505,671,867
1214,161,31
1425,614,865
1770,-277,-429
1908,-299,-470
1493,-306,642
1448,469,-603
1606,545,830
1853,-419,-419
1436,-351,507
1485,-226,546
1785,2115,748
1859,2023,675
1839,1872,-821
1782,2008,-750
1842,2188,769
1168,1378,45
1736,1878,-729
1039,1275,-104
280,3263,-433
512,3180,612
-652,3351,416
-602,3238,544
-965,2962,-448
434,3159,722
300,3273,-435
-636,3387,617
-974,2905,-319
504,3213,-419
-961,2940,-487
-47,2501,-59
378,3193,529
-1771,900,565
-1974,1872,530
-1896,739,570
-1885,1797,-793
-1685,666,-587
-1891,1821,-756
-1795,666,-590
-1938,1732,-650
-1852,893,579
-1795,649,-549
-1837,1905,557
-1253,1348,-26
-1786,1903,503
1558,3102,544
1168,2532,-56
1684,3312,-588
1560,3064,516
1061,2407,59
1719,3261,-566
1890,3313,-622
1513,3021,516
693,1666,-1777
1798,2047,-1798
1631,630,-1968
654,1753,-1605
1506,662,-1897
1571,2102,-1799
229,564,-1812
1686,2030,-1772
1108,1202,-1270
256,533,-1643
297,565,-1747
1184,1392,-1219
687,1598,-1678
1587,521,-1897
1695,1929,2027
1659,1935,1872
1676,2819,1791
316,1724,1775
1559,2920,1808
318,1762,1681
595,3108,1734
363,3071,1737
501,3047,1758
467,1675,1681
1561,2876,1820
1676,1946,1878
1030,2542,1231
1213,2492,1140
-472,-2913,482
-177,-2299,91
636,-2821,-443
-36,-2303,-93
-582,-2830,571
648,-2820,-468
-593,-2851,476
409,-2930,651
374,-2848,496
-406,-2964,-388
265,-2822,608
-465,-3079,-401
558,-2937,-512
-567,-2967,-445
-1901,-1917,598
-1889,-1851,558
-1960,-210,634
-1662,-1548,-674
-2088,-299,-592
-1962,-1825,488
-1666,-1502,-805
-1806,-257,576
-1659,-1557,-699
-1953,-228,535
-2177,-303,-548
-1350,-1029,2
-2177,-396,-698
-1183,-1154,35
-1715,-3203,523
-1995,-3109,-456
-1365,-2389,72
-1766,-3123,555
-1972,-3121,-417
-2062,-3046,-338
-1188,-2215,1
-1825,-3114,489
2661,1955,578
3025,3108,1801
3054,3243,601
2406,2532,1155
2694,1920,454
2272,2407,1232
3083,3231,540
3128,3224,465
3034,1670,1867
2776,1930,434
3007,3197,1781
3131,1684,1814
2904,3118,1855
2944,1722,1811
1786,3109,2982
1799,3300,3070
331,1744,3165
562,3025,3025
425,1663,3090
1679,1720,3080
1046,2583,2455
1751,3195,3044
1156,2467,2378
622,3032,2988
1755,1936,3080
1691,1744,3086
477,1762,3154
636,3041,3112
1676,4154,760
552,4479,842
1660,4285,766
256,4415,1983
1594,4252,1903
1709,4267,648
453,4442,848
221,4303,1962
1092,3609,1232
1487,4367,1891
1536,4362,1788
293,4484,2006
622,4543,861
3161,690,-1693
3024,670,-1675
3022,2047,-1814
2640,2125,-652
2828,656,-656
2818,669,-518
3068,2053,-1812
2624,2011,-765
2373,1373,-1233
2997,619,-1642
2939,578,-596
3050,2057,-1696
2235,1264,-1125
2664,2087,-792
1624,538,-3119
539,1994,-3113
1038,1359,-2393
1147,1196,-2318
543,673,-2846
1547,1617,-3024
552,1989,-3080
1519,1771,-3032
1569,1614,-2953
470,2091,-3153
1512,536,-3034
634,727,-2903
570,601,-2905
1520,440,-3029
-155,2590,-1218
-871,2947,-1750
453,2808,-1587
459,2795,-1848
-723,3052,-1707
495,2798,-1614
-577,1828,-1869
-640,1798,-1918
-731,1865,-1784
7,2510,-1111
-848,3110,-1740
-1203,2412,-64
-1801,2945,728
-1815,3017,757
-1707,2927,-738
-1262,2587,89
-1763,2943,796
-1776,2876,-826
-1742,2894,-853
-1379,2488,-6
-859,2149,1787
-1737,2005,2069
-451,502,1740
-420,416,1774
-2015,498,1999
-1816,488,2061
-1225,1250,1214
-514,440,1622
-734,2065,1776
-1862,550,1959
-1304,1388,1100
-857,2132,1690
-1727,2143,1956
-1831,2009,2013
3012,3147,2948
2703,2042,2884
2322,2455,2484
3082,3021,2872
2858,2059,2832
3097,3149,2745
2721,1997,2826
2220,2568,2382
622,5612,644
1133,4797,1286
515,5271,1757
596,5613,479
1517,5668,1819
619,5715,475
1475,5351,693
443,5364,1881
1197,4988,1137
1543,5231,658
405,5272,1925
1608,5636,1861
1021,4914,1206
1523,5361,790
1454,5734,1817
418,-661,-1785
1606,-291,-2921
1215,-4,-2464
496,-510,-1733
1675,-327,-2856
524,-497,-2844
1583,-484,-1635
1592,-445,-1634
1024,92,-2441
406,-419,-2844
541,-402,-2949
1473,-516,-1680
413,-590,-1804
1666,-503,-2945
-1840,1688,-1848
-1364,2557,-1230
-1738,2996,-1562
-1730,2970,-1515
-1237,2444,-1134
-1920,3010,-1570
-1805,1704,-1936
-1826,1815,-1953
426,4137,-398
1656,5430,-847
1596,4402,-402
475,5306,-783
519,5275,-607
1575,4255,-521
1656,5422,-584
1647,5472,-760
1618,4254,-526
1162,4884,85
401,4334,-397
1026,4933,-87
580,5308,-695
427,4355,-430
-2124,4373,802
-453,4231,-376
-2026,4188,-872
-2092,4391,686
-403,4181,-380
-512,4353,393
-525,4322,529
-407,4332,-319
-1965,4342,-810
-507,4332,591
-1974,4226,-859
-1275,3676,53
-2180,4285,752
-2462,3754,41
-2959,4393,542
-3109,3361,679
-3014,3290,670
-2988,4223,590
-3310,3018,-794
-3268,4139,-514
-3200,2966,-724
-2507,3595,-82
-3263,3001,-788
-3072,3309,824
-3255,4200,-529
-2989,4274,457
-3073,4164,-460
-3028,2960,-1795
-2951,1923,-617
-2486,2567,-1113
-2980,2018,-562
-2874,1755,-1987
-2903,1776,-1948
-3125,2911,-1850
-2867,2063,-606
-2912,1934,-1985
-2971,2990,-1845
-2464,2452,-1286
-3244,5451,-517
-3032,5342,514
-2411,4843,71
-1900,5364,651
-1842,5253,592
-2437,4982,-77
-1618,5448,-674
-1754,5447,-818
-1817,5393,-639
-3017,5510,518
-3112,5425,532
-3300,5471,-452
-1800,5363,517
-3224,5562,-444
-3102,4402,1619
-1860,4290,1711
-3162,3119,1701
-3033,4455,1627
-1791,4368,1793
